role,resource,id,type,dimension,category,region,data_name,year_published,year_target,provider,method_description_data,method_description_ind,sdg,data_file,excel_sheet,data_type,data_encoding,epsg,source_url,date_acquired,licence,licence_url,resolution,areas,map_field,evaluate,units,aggregation,target,fill_na,rate,point_overlay_xy,point_overlay_name,point_overlay_hover_field,raster_band,scale_factor,raster_range,raster_mult,raster_offset,raster_statistic,raster_nodata,plot,citations,notes
indicators,Visits to sport yards (2018),sport_yard_usage,linkage,Enhancing quality of life,"Access to temples, museums, music and other cultural events that provide opportunities for people to come together; Multi-purpose local community centres",Bangkok,BMA Youth centers,2018,2018,"Culture, Sports and Tourism Department BMA","Data on counts of youth centers, sports centers and sport yards and their usage counts within Bangkok districts (2018) were cleaned and associated with area linkage codes.",The number of visits to sport yards within each district was recorded.,"2.1, 3, 11",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/Youth centers in Bangkok 2018_kn 20190909.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Sport yard visits,,#,,,,"overall, population:1000",,,,,,,,,,,district,,
indicators,Coefficient of inequality (2017),inequality_district,linkage,Social development,Opportunity to earn a fair wage,Bangkok,Poverty Indicators 2017,2018,2017,National Statistical Office,"The data table ""Poverty Indicators 2017: Cost Dimensions with records for Bangkok overall, districts, and subdistricts"" was retrieved from the Thai National Statistical Office (NSO).  Data were cleaned for processing and aligned with area IDs. ","The coefficient of inequality within each analysis area was recorded.  Also known as the Gini coefficient, this is defined as a ratio between 0 and 1 and is here expressed as a percentage. A low Gini coefficient is suggestive of equality in income distribution. Higher values are indicative of an increasingly disparate income distribution.  Expressed as a percentage,  0 means absolute equality (Everyone has the same income) and 100 means complete inequality.   The Gini coefficient calculation is based on the assumption that no one has a lower income than zero.",,./data/Thai/National Statistical Office/2017 poverty index/NSO_Bangkok_2017_poverty_index_en_cleaned.xlsx,district,integer,,,http://www.nso.go.th/sites/2014/DocLib8/2560/central/urban/10_bangkok.xls,20180121,none specified,,area summary,district,"Coefficient of inequality (NSO, 2017)",,%,average,,,,,,,,,,,,,,district,,The source data table also includes standard error as a measure of precision for each area estimate
indicators,Coefficient of inequality (2017),inequality_subdistrict,linkage,Social development,Opportunity to earn a fair wage,Bangkok,Poverty Indicators 2017,2018,2017,National Statistical Office,"The data table ""Poverty Indicators 2017: Cost Dimensions with records for Bangkok overall, districts, and subdistricts"" was retrieved from the Thai National Statistical Office (NSO).  Data were cleaned for processing and aligned with area IDs. ","The coefficient of inequality within each analysis area was recorded.  Also known as the Gini coefficient, this is defined as a ratio between 0 and 1 and is here expressed as a percentage. A low Gini coefficient is suggestive of equality in income distribution. Higher values are indicative of an increasingly disparate income distribution.  Expressed as a percentage,  0 means absolute equality (Everyone has the same income) and 100 means complete inequality.   The Gini coefficient calculation is based on the assumption that no one has a lower income than zero.",,./data/Thai/National Statistical Office/2017 poverty index/NSO_Bangkok_2017_poverty_index_en_cleaned.xlsx,subdistrict,integer,,,http://www.nso.go.th/sites/2014/DocLib8/2560/central/urban/10_bangkok.xls,20180121,none specified,,area summary,subdistrict,"Coefficient of inequality (NSO, 2017)",,%,average,,,,,,,,,,,,,,district,,The source data table also includes standard error as a measure of precision for each area estimate
indicators,Average monthly cost of living per person (Baht; 2017),cost_of_living_district,linkage,Enhancing quality of life,Opportunity to earn a fair wage,Bangkok,Poverty Indicators 2017,2018,2017,National Statistical Office,"The data table ""Poverty Indicators 2017: Cost Dimensions with records for Bangkok overall, districts, and subdistricts"" was retrieved from the Thai National Statistical Office (NSO).  Data were cleaned for processing and aligned with area IDs.  ",The average monthly cost of living per person within each analysis area was recorded.,,./data/Thai/National Statistical Office/2017 poverty index/NSO_Bangkok_2017_poverty_index_en_cleaned.xlsx,district,numeric,,,http://www.nso.go.th/sites/2014/DocLib8/2560/central/urban/10_bangkok.xls,20180121,none specified,,area summary,district,"Average monthly cost of living per person (Baht; NSO, 2017)",,฿,average,,,,,,,,,,,,,,district,,The source data table also includes standard error as a measure of precision for each area estimate
indicators,Average monthly cost of living per person (Baht; 2017),cost_of_living_subdistrict,linkage,Enhancing quality of life,Opportunity to earn a fair wage,Bangkok,Poverty Indicators 2017,2018,2017,National Statistical Office,"The data table ""Poverty Indicators 2017: Cost Dimensions with records for Bangkok overall, districts, and subdistricts"" was retrieved from the Thai National Statistical Office (NSO).  Data were cleaned for processing and aligned with area IDs.  ",The average monthly cost of living per person within each analysis area was recorded.,,./data/Thai/National Statistical Office/2017 poverty index/NSO_Bangkok_2017_poverty_index_en_cleaned.xlsx,subdistrict,numeric,,,http://www.nso.go.th/sites/2014/DocLib8/2560/central/urban/10_bangkok.xls,20180121,none specified,,area summary,subdistrict,"Average monthly cost of living per person (Baht; NSO, 2017)",,฿,average,,,,,,,,,,,,,,district,,The source data table also includes standard error as a measure of precision for each area estimate
indicators,The percentage contribution of local taxes to overall BMA tax revenue (2019),percent_bma_income_from_local_taxes,linkage,Social development,Local employment opportunities,Bangkok,Taxes collected,2019,2019,"Finance Department, BMA","Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  The data comprised sample point records of actual revenue by taxes collected by BMA district offices for the fiscale year of 2019, source dfrom the BMA Finance Department in October 2019.  Data were cleaned for processing and aligned with area IDs. ","The percentage contribution of local taxes to BMA's overall tax revenue for 2019 was calculated by dividing the total revenue for each district (sum of house and building taxes, local development taxes, and signboard taxes) by the contribution from local deveopment taxes and multiplying this by 100.","3, 6, 9, 11, 12, 14",./data/Thai/_from BMA/20191204/transfer_1815206_files_409fa2da/BKK_taxes_district_19 _kn20191201.xlsx,cleaned,float,,,,20190617,none specified,,area summary,district,Local Development Taxes,/ `Total revenue of 3 taxes`,%,percent,50,,,,,,,,,,,,,district,,
destinations,"any public open space entry points (OSM, 2019)",pos_entry_any_osm,pos_entry_any,,,Bangkok,Public Open Space,,,OpenStreetMap,,,,query: aos_nodes_30m_line a LEFT JOIN aos_public_osm b USING (aos_id) WHERE b.aos_id IS NOT NULL  AND b.aos_ha_public > 0  AND b.water_percent < 100,,,,,,,ODbL,https://wiki.osmfoundation.org/wiki/Licence,point,,,,,,,,,,,,,,,,,,,,OpenStreetMap contributors,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
destinations,"Large public open space entry points (OSM, 2019)",pos_entry_large_osm,pos_entry_large,,,Bangkok,Public Open Space,,,OpenStreetMap,,,,query: aos_nodes_30m_line a LEFT JOIN aos_public_osm b USING (aos_id) WHERE b.aos_id IS NOT NULL  AND b.aos_ha_public > 1.5 AND b.water_percent < 100,,,,,,,ODbL,https://wiki.osmfoundation.org/wiki/Licence,point,,,,,,,,,,,,,,,,,,,,OpenStreetMap contributors,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
destinations,Bus stations [BRT express bus station in Bangkok area.],brt_station,bus,,,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/transport/brt_station/brt_station.shp,,vector,TIS-620,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/brt_station.rar,20181210,none specified,,,,,,,,,,,,,,,,,,,,,,,
destinations,Train stations [Airport Rail Link (ARL)],airportlink_station,train,,,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/transport/airportlink_station/airportlink_station.shp,,vector,TIS-620,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/airportlink_station.rar,20181210,none specified,,,,,,,,,,,,,,,,,,,,,,,
destinations,Train stations [Bangkok Mass Transit System (BTS) in Bangkok.],bts_station,train,,,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/transport/bts_station/bts_station.shp,,vector,TIS-620,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/bts_station.rar,20181210,none specified,,,,,,,,,,,,,,,,,,,,,,,
destinations,Train stations [Chaloem Ratchamongkhon MRT Station in Bangkok],mrt_station,train,,,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/transport/mrt_station/mrt_station.shp,,vector,TIS-620,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/mrt_station.rar,20181210,none specified,,,,,,,,,,,,,,,,,,,,,,,
destinations,Train stations [Railway Station / Stop at Bangkok Railway Station],train_station,train,,,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/transport/train_station/train_station.shp,,vector,TIS-620,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/train_station.rar,20181210,none specified,,,,,,,,,,,,,,,,,,,,,,,
destinations,Ferry ports [Boat Quay in the Chao Phraya River in Bangkok.],ferry_terminal,ferry,,,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/transport/terminal/terminal.shp,,vector,TIS-620,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/terminal.rar,20181210,none specified,,,,,,,,,,,,,,,,,,,,,,,
destinations,Ferry ports [Canal Sansabai],sansab_pier,ferry,,,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/transport/sansab_pier/sansab_pier.shp,,vector,TIS-620,32647,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/sansab_pier.rar,20181210,none specified,,,,,,,,,,,,,,,,,,,,,,,
destinations,Public transport (any; OpenStreetMap),pt_osm,pt_any,,,Bangkok,Public Transport,,,OpenStreetMap,,,,,,,,,,,ODbL,https://wiki.osmfoundation.org/wiki/Licence,point,,,,,,,,,,,,,,,,,,,,OpenStreetMap contributors,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
destinations,Supermarket (OpenStreetMap),supermarket_osm,supermarket,,,Bangkok,Food entrepreneurs,,,OpenStreetMap,,,,,,,,,,,ODbL,https://wiki.osmfoundation.org/wiki/Licence,point,,,,,,,,,,,,,,,,,,,,OpenStreetMap contributors,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
unused,"PM2.5 (NASA SEDAC, 2016)",,,3. City problems impacting health and wellbeing,High quality air,Bangkok,"Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD) with GWR, v1 ( 2016)",2016,2016,NASA SEDAC,,,,./data/International/NASA/SEDAC/sdei-global-annual-gwr-pm2-5-modis-misr-seawifs-aod-2016-geotiff.zip,,,,,http://sedac.ciesin.columbia.edu/downloads/data/sdei/sdei-global-annual-gwr-pm2-5-modis-misr-seawifs-aod/sdei-global-annual-gwr-pm2-5-modis-misr-seawifs-aod-2016-geotiff.zip,20190117,none specified,,.01 degrees (approx. 1km),,,,,,,,,,,,,,,,,,,,"van Donkelaar, A., R. V. Martin, M. Brauer, N. C. Hsu, R. A. Kahn, R. C. Levy, A. Lyapustin, A. M. Sayer, and D. M. Winker. 2018. Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD) with GWR, 1998-2016. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/H4ZK5DQS. Accessed 17 January 2019","Key limitations: "" PM2.5 concentration values excluding dust and sea salt for the benefit of researchers focusing on anthropogenic sources of PM2.5."";  ""These data are not intended for studies examining intra-urban differentials in PM2.5, for example, or other small area research."", ; Use constraints: provide attribution ""Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided."""
unused,"Flood water percent (NASA MODIS, December 2018)",,,3. City problems impacting health and wellbeing,No flooding,Bangkok,Flood water percent,,,,,,,./data/International/USGS EarthExplorer/MFW_2018337_100E020N_P14x3D3OT.tif,,,,,https://floodmap.modaps.eosdis.nasa.gov/Products/100E020N/2018/MFW_2018337_100E020N_P14x3D3OT.tif,,,,,,,,,,,,,,,,,,,,,,,,,
unused,Access to public open space  (2014),public_park,access,4. Health-promoting environments,Areas for passive recreation and physical activity,Bangkok,Public Open Space,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/environment/public_park/public_park.shp,,,,,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/env/public_park.rar,20181210,none specified,,400,"subdistrict,district",,,%,,,,,,,,,,,,,,,,,"Point data, but includes area attribute (can use to cross-check OSM data)"
unused,Percentage of residents living within 400 metres of a bus rapid transfer express station (2014),bus,access,4. Health-promoting environments,Mass transit availability; connected public transport networks; increased provision of transit-oriented developments,Bangkok,Public Transport,2014,2014,BangkokGIS (BMA),"Bus rapid transfer express stations (BMA, 2014) were analysed for access using a pedestrian network derived from OSM data using OSMnx.",Accessibility within 400m was evaluated using the Python network analysis package Pandana for a series of sample points generated every 50 metres along the Bangkok OSM pedestrian network.   Population weighted averages for the proportion of sample points having access in each subdistrict were used to estimate the measure.,,,,vector,,32647,,20181210,none specified,,400,"subdistrict,district",% living within 400 metres,,%,,,,,,,,,,,,,,,,,
unused,"population, 2020, 100m (WorldPop, 2014)",ppp_2020_100m,,,,Bangkok,,2020,2020,www.worldpop.org,,,,./data/International/WorldPop/Thailand 100m Population/THA_ppp_v2b_2020.tif,,raster:Int64,,4326,https://www.worldpop.org/doi/10.5258/SOTON/WP00267,20181109,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ast,100,,,,,,,,,,,,1,,,,,sum,,,"Asia population count data: Gaughan AE, Stevens FR, Linard C, Jia P and Tatem AJ, 2013, High resolution population distribution maps for Southeast Asia in 2020 and 2020, PLoS ONE, 8(2): e55882.","2020 (predicted, based on 2020 census)"
unused,"population, 2010, 100m (WorldPop, 2014)",,,,,Bangkok,,2010,2010,www.worldpop.org,,,,./data/International/WorldPop/Thailand 100m Population/THA_ppp_v2b_2010.tif,,raster:Int64,,4326,https://www.worldpop.org/doi/10.5258/SOTON/WP00267,20181109,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ast,100,,,,,,,,,,,,1,,,,,,,,"Asia population count data: Gaughan AE, Stevens FR, Linard C, Jia P and Tatem AJ, 2013, High resolution population distribution maps for Southeast Asia in 2010 and 2015, PLoS ONE, 8(2): e55882.","2010 (predicted, based on 2010 census)"
unused,"national (HDX, 2019)",not applicable,,,,Bangkok,,2017,2017,GISTA (via OCHA / HDX),,,,./data/International/HDX/tha_adm_rtsd_itos_20190221_SHP_PART_1/tha_admbnda_adm0_rtsd_20190221.shp,,vector,,4326,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27/resource/d0c722ff-6939-4423-ac0d-6501830b1759/download/tha_adm_rtsd_itos_20190221_shp_part_1.zip,20190409,Intended for humanitarian purposes,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27#metadata,national,,,,,,,,,,,,,,,,,,,,,
unused,"provinces (HDX, 2019)",provinces,,,,Bangkok,,2017,2017,GISTA (via OCHA / HDX),,,,./data/International/HDX/tha_adm_rtsd_itos_20190221_SHP_PART_1/tha_admbnda_adm1_rtsd_20190221.shp,,vector,,4326,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27/resource/d0c722ff-6939-4423-ac0d-6501830b1759/download/tha_adm_rtsd_itos_20190221_shp_part_1.zip,20190409,Intended for humanitarian purposes,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27#metadata,province,,,,,,,,,,,,,,,,,,,,,
unused,"districts (HDX, 2019)",districts,,,,Bangkok,,2017,2017,GISTA (via OCHA / HDX),,,,./data/International/HDX/tha_adm_rtsd_itos_20190221_SHP_PART_1/tha_admbnda_adm2_rtsd_20190221.shp,,vector,,4326,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27/resource/d0c722ff-6939-4423-ac0d-6501830b1759/download/tha_adm_rtsd_itos_20190221_shp_part_1.zip,20190409,Intended for humanitarian purposes,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27#metadata,district,,,,,,,,,,,,,,,,,,,,,"Amanda noted Bang Phlat district may be of particular interest (see ASEAN report, BMA - Plan to drive Bangkok forward in the ASEAN context 2019 – 2025  - 2018.pdf vis. 'the Bang Phlat model')"
unused,"subdistricts (HDX, 2019)",subdistricts,,,,Bangkok,,2017,2017,GISTA (via OCHA / HDX),,,,./data/International/HDX/tha_adm_rtsd_itos_20190221_SHP_PART_2/tha_admbnda_adm3_rtsd_20190221.shp,,vector,,4326,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27/resource/3b931e68-8894-4e99-b6d7-0e522f9ba2d0/download/tha_adm_rtsd_itos_20190221_shp_part_2.zip,20190409,Intended for humanitarian purposes,https://data.humdata.org/dataset/d24bdc45-eb4c-4e3d-8b16-44db02667c27#metadata,subdistrict,,,,,,,,,,,,,,,,,,,,,
unused,"population by household, sex and district (NSO, 2010)",,,,,Bangkok,,2010,2010,National Statistical Office,,,,./data/Thai/National Statistical Office/2010 Census/10_C-pop_2553_000_010000_00100_derived.csv,,table:wide,,,http://statbbi.nso.go.th/nso/nso_center/project/table/files/C-pop/2553/000/10_C-pop_2553_000_010000_00100.xls,20190116,none specified,,district,,,,,,,,,,,,,,,,,,,,,
unused,"population by age group and sex (NSO, 2010)",,,,,Bangkok,,2010,2010,National Statistical Office,,,,./data/Thai/National Statistical Office/2010 Census/10_C-pop_2553_000_010000_00300.xls,,,,,http://statbbi.nso.go.th/nso/nso_center/project/table/files/C-pop/2553/000/10_C-pop_2553_000_010000_00300.xls,20190116,none specified,,district,,,,,,,,,,,,,,,,,,,,,
unused,"educational attainment (NSO, 2010)",,,,,Bangkok,,2010,2010,National Statistical Office,,,,./data/Thai/National Statistical Office/2010 Census/10_C-pop_2553_000_010000_00900.xls,,,,,http://statbbi.nso.go.th/nso/nso_center/project/table/files/C-pop/2553/000/10_C-pop_2553_000_010000_00900.xls,20190116,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,
unused,"disability (NSO, 2010)",,,,,Bangkok,,2010,2010,National Statistical Office,,,,./data/Thai/National Statistical Office/2010 Census/10_C-pop_2553_000_010000_01400.xls,,,,,http://statbbi.nso.go.th/nso/nso_center/project/table/files/C-pop/2553/000/10_C-pop_2553_000_010000_01400.xls,20190116,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,
unused,"major cooking fuel (NSO, 2010)",,,,,Bangkok,,2010,2010,National Statistical Office,,,,./data/Thai/National Statistical Office/2010 Census/10_C-pop_2553_000_020000_00500.xls,,,,,http://statbbi.nso.go.th/nso/nso_center/project/table/files/C-pop/2553/000/10_C-pop_2553_000_020000_00500.xls,20190116,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,
unused,"air quality (Jan 2019, Bangkok)",,,,,Bangkok,,2019,2019,"Air and Noise Quality Management Division, Pollution Control Department ",,,,./data/Thai/air4thai/getNewAQI_JSON_Bangkok.json,,,,,http://air4thai.pcd.go.th/services/getNewAQI_JSON.php?region=1,20190117,none specified,,point (Bangkok),,,,,,,,,,,,,,,,,,,,,Point data from monitoring stations; may have to interpolate.  Restricted to Bangkok.
unused,"air quality (Oct 2018, Bangkok)",,,,,Bangkok,,2018,2018,"Air and Noise Quality Management Division, Pollution Control Department ",,,,./data/Thai/air4thai/getAQI_JSON_Bangkok.json,,,,,http://air4thai.pcd.go.th/services/getAQI_JSON.php?region=1,20190117,none specified,,point (Bangkok),,,,,,,,,,,,,,,,,,,,,Point data from monitoring stations; may have to interpolate.  Restricted to Bangkok.
unused,"air quality (Jan 2019, Thailand)",,,,,Bangkok,,2019,2019,"Air and Noise Quality Management Division, Pollution Control Department ",,,,./data/Thai/air4thai/getNewAQI_JSON_Thailand.json,,,,,http://air4thai.pcd.go.th/services/getNewAQI_JSON.php,20190117,none specified,,point (Thailand),,,,,,,,,,,,,,,,,,,,,"Point data from monitoring stations; may have to interpolate.  All of Thailand data may be useful for edge effects if some stations are close to, but just outside Bangkok"
unused,"air quality (Oct 2018, Thailand)",,,,,Bangkok,,2018,2018,"Air and Noise Quality Management Division, Pollution Control Department ",,,,./data/Thai/air4thai/getAQI_JSON_Thailand.json,,,,,http://air4thai.pcd.go.th/services/getAQI_JSON.php,20190117,none specified,,point (Thailand),,,,,,,,,,,,,,,,,,,,,"Point data from monitoring stations; may have to interpolate.  All of Thailand data may be useful for edge effects if some stations are close to, but just outside Bangkok"
unused,"Crime (RTP, 2017)",,,,,Bangkok,,2018,2017,Royal Thai Police,,,,./data/Thai/Royal Thai Police/crime/RTP_crime_cleaned.xlsx,,,,,http://pitc.police.go.th/dirlist/dl.php?ph=/home/pitc/public_html/statistics/crimes/2560/%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9A%E0%B8%B2%E0%B8%A5.pdf,20190111,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,Summary crime classes 1 (violent crimes) and 2 (property crimes) are probably the two relevant statistics.  Note that this is a whole of province statistic
unused,"land cover (USGS EROS MODIS, 2017)",,,,,Bangkok,,2017,2017,USGS EROS (via USGS Earth Explorer),,,,./data/International/USGS EarthExplorer/MCD12Q1.A2017001.h27v07.006.2018257173308.hdf,,,,,https://e4ftl01.cr.usgs.gov/MODV6_Cmp_C/MOTA/MCD12Q1.006/2017.01.01/MCD12Q1.A2017001.h27v07.006.2018257173308.hdf,20190118,none specified,,500m,,,,,,,,,,,,,,,,,,,,"Friedl, M., Sulla-Menashe, D. (2015). MCD12Q1 MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 500m SIN Grid V006 [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MODIS/MCD12Q1.006",Public domain; give credit to USGS EROS. 
unused,"flood area (GISTDA, 2016)",,,,,Bangkok,,2016,2016,Geo-Informatics and Space Technology Development Agency,,,,./data/Thai/GISTDA/flood_2016_geo.zip,,,,,http://flood.gistda.or.th/flood/y2016/FL50_analysis/flood_2016_geo.zip,20190118,none specified,,,,,,,,,,,,,,,,,,,,,,,
unused,"flood frequency (GISTDA, 2015)",,,,,Bangkok,,2016,2016,Geo-Informatics and Space Technology Development Agency,,,,./data/Thai/GISTDA/flood-flood_freq_2005_2015_box.tif,,,,,"http://tile.gistda.or.th/geoserver/flood/wms?service=WMS&version=1.1.0&request=GetMap&layers=flood:flood_freq_2005_2015_box&styles=&bbox=97.81485662718026,5.658071957224223,105.88272662718026,20.69923195722422&width=411&height=768&srs=EPSG:4326&format=image%2Fgeotiff",20190118,none specified,,,,,,,,,,,,,,,,,,,,,,,
unused,flood vulnerability (2014),,,,,Bangkok,,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/emergency/flood_point.rar,,,,,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/preve/flood_point.rar,20181210,none specified,,polygon (Thailand),,,,,,,,,,,,,,,,,,,,,"Data appears to be from 2014; however, should confirm with BMA"
unused,temples (2014),,,,,Bangkok,,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/education,,,,,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/,20181210,none specified,,point (Bangkok),,,,,,,,,,,,,,,,,,,,,
unused,"temples (OSM, 2019)",,,,,Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Could derive a combined layer based on OSM and BMA data --- only retain points where not within some distance (to avoid double counting)
unused,schools (2014),,,,,Bangkok,,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS/education,,,,,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/,20181210,none specified,,point (Bangkok),,,,,,,,,,,,,,,,,,,,,
unused,"schools (OSM, 2019)",,,,,Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unused,"employment survey  (NSO, 2018)",,,,,Bangkok,,2018,2018,National Statistical Office,,,,./data/Thai/National Statistical Office/employment/Informal employment 2018 - 2561_Full_Report.pdf,,,,,http://www.nso.go.th/sites/2014/DocLib13/%e0%b8%94%e0%b9%89%e0%b8%b2%e0%b8%99%e0%b8%aa%e0%b8%b1%e0%b8%87%e0%b8%84%e0%b8%a1/%e0%b8%aa%e0%b8%b2%e0%b8%82%e0%b8%b2%e0%b9%81%e0%b8%a3%e0%b8%87%e0%b8%87%e0%b8%b2%e0%b8%99/%e0%b9%81%e0%b8%a3%e0%b8%87%e0%b8%87%e0%b8%b2%e0%b8%99%e0%b8%99%e0%b8%ad%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b8%9a%e0%b8%9a/%e0%b9%81%e0%b8%a3%e0%b8%87%e0%b8%87%e0%b8%b2%e0%b8%99%e0%b8%99%e0%b8%ad%e0%b8%81%e0%b8%a3%e0%b8%b0%e0%b8%9a%e0%b8%9a_2561/2561_Full_Report.pdf,20180118,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,Province level summaries (including Bangkok) of formal and informal employment by sector
unused,"household income (NSO, 2017)",,,,,Bangkok,,2018,2017,National Statistical Office,,,,"./data/Thai/National Statistical Office/2017 Household Socio-Economic Survey/Bangkok Metropolis,Nonthabur,Pathum Thani and Samut Prakan - 2017 - Excel File/Excel File/Table 1.xls",,,,,http://www.nso.go.th/sites/2014en/Survey/social/household/household/2017/Bangkok/Excel%20File.rar,20180121,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,"Data is for Bangkok (and otherwise, Province level); can also stratify by socioeconomic status"
unused,"life expectancy (UNDP, 2018)",,,,,Bangkok,,2018,2017,UNDP HDR,,,,./data/International/UNDP HDR/Life expectancy at birth (years).csv,,,,,http://hdr.undp.org/en/indicators/69206#,20180121,none specified,,national (Thailand),,,,,,,,,,,,,,,,,,,,,
unused,location of employment,,,,,Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unused,food testing,,,,,Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unused,"toilet facilities (NSO, 2010)",,,,,Bangkok,,2010,2010,National Statistical Office,,,,./data/Thai/National Statistical Office/2010 Census/10_C-pop_2553_000_020000_00600.xls,,,,,http://statbbi.nso.go.th/nso/nso_center/project/table/files/C-pop/2553/000/10_C-pop_2553_000_020000_00600.xls,20190116,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,
unused,"vehicle registrations (DLT, 2019)",,,,,Bangkok,,2019,2019,Department of Land Transport,,,,./data/Thai/Department of Land Transport/31Dec2018 - Number of registered cars as of December 31 2018 - area.xls,,,,,https://web.dlt.go.th/statistics/plugins/UploadiFive/uploads/20a13653002060cb982289db5acc3733e19755051189ac84e1629e3c05e3a3ba.xls,20180121,none specified,,province (Bangkok),,,,,,,,,,,,,,,,,,,,,Province level summaries (including Bangkok) of vehicle registrations by vehicle type
unused,"public transport stops (OSM, 2019)",,,,,Bangkok,,,,OpenStreetMap,,,,,,,,,,reacquire at commencement of analysis,ODbL,https://wiki.osmfoundation.org/wiki/Licence,polygon,,,,,,,,,,,,,,,,,,,,,User contributed data; Please note licence implications involving usage of OSM data when combined with other data sets
unused,public transport stops (2014),,,,,Bangkok,,2014,2014,BangkokGIS (BMA),,,,./data/Thai/BMA GIS,,,,,http://www.bangkokgis.com/bangkokgis_2008/userfiles/files/download/Shapefile/Traffic/,20181210,none specified,,point (Bangkok),,,,,,,,,,,,,,,,,,,,,"Multiple station features for different transport modes (BTS, BRT, ARL, MRT, other rail way stations, points along Canal Sansabai)"
unused,informal housing,,,,,Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
